,title,summary,press,wdate,link
0,"'형님' 삼전닉스 따라 장비주 줄줄이 상한가…""슈퍼사이클 초기 진입""",반도체 투자 심리가 돌아오면서 반도체 장비주들이 줄이어 상한가를 기록하고 있다. 삼성전자와 SK하이닉스 등 대형 반도체 기업들이 생산 ..,머니투데이,2026-06-12 14:08:50,https://n.news.naver.com/mnews/article/008/0005371117
1,AI 소부장株 들썩…HPSP·원익IPS 나란히 상한가 [이런국장 저런주식],국내 반도체 소부장(소재·부품·장비) 종목들이 12일 일제히 급등했다. 최근 인공지능(AI) 소부장 업종에 대한 투자심리가 개선되면서 ..,서울경제,2026-06-12 14:04:07,https://n.news.naver.com/mnews/article/011/0004630506
2,"""반도체 슈퍼사이클 이제 막 시작…코스피 1만 간다""",노무라증권이 인공지능(AI) 확산에 따른 메모리 수요 급증을 근거로 반도체 슈퍼 사이클이 본격적인 상승 구간에 진입했다고 진단했다. A..,한국경제TV,2026-06-12 13:56:16,https://n.news.naver.com/mnews/article/215/0001255193
3,"노무라 ""반도체 사이클 이제 막 시작…방산·車도 증시 이끌것""","MSCI 선진지수 관찰대상국 편입가능성 60%…환율 단기내 하락 어려워"" 노무라증권은 12일 ""반도체 슈퍼 사이클은 이제 막 시작됐다""..",연합뉴스,2026-06-12 13:43:24,https://n.news.naver.com/mnews/article/001/0016135718
4,"與 ""DIP 조달"" vs 메리츠證 ""김병주 MBK회장 보증 필요""…홈플러스 회생 교착","민주당 을지로위원회 11일 메리츠증권 항의방문 메리츠, 홈플러스 DIP 요청 이후 같은 입장 반복 기업회생 절차를 밟고 있는 홈플러스 ..",더팩트,2026-06-12 13:36:16,https://n.news.naver.com/mnews/article/629/0000507178
5,"'법정관리 기업을 글로벌 주역으로' 남민우 회장 ""디티에스 상장, 성장의 결실""",다산네트웍스가 자회사 디티에스(DTS)의 코스닥 상장을 둘러싼 중복상장 논란의 정면돌파에 나섰다. 남민우 다산그룹 회장은 12일 오전 ..,머니투데이,2026-06-12 13:31:52,https://n.news.naver.com/mnews/article/008/0005371102
6,"-1천만원 주식 손실, 6개월 숨긴 아내…""신뢰 손상 vs 각자 자산"" 갑론을박",주식 투자로 1천만 원이 넘는 자산 손실을 본 사실을 반년 동안이나 남편에게 숨겨온 아내의 사연을 두고 온라인상에서 뜨거운 설전이 벌어..,이코노미스트,2026-06-12 13:29:07,https://n.news.naver.com/mnews/article/243/0000099050
7,"[단독] TIGER 미국우주테크, 스페이스X 상장 당일 편입 철회",미래에셋자산운용이 ‘TIGER 미국우주테크’ 상장지수펀드(ETF)의 스페이스X 상장 당일 편입 계획을 철회했다. 기존 계획대로 상장 후..,서울경제,2026-06-12 11:56:13,https://n.news.naver.com/mnews/article/011/0004630477
8,24일간 75조 팔던 외국인이 돌아왔다…하루 만에 1.2조 '폭풍 매수',24거래일 연속 대규모 매도에 나섰던 외국인 투자자들이 코스피 시장으로 돌아온 것으로 보인다. 외국인은 하루 만에 1조원이 넘는 순매수..,파이낸셜뉴스,2026-06-12 11:37:18,https://n.news.naver.com/mnews/article/014/0005534146
9,AI 기대에 SK네트웍스 매수…삼성전자·SK하이닉스는 차익실현 [주식 초고수는 지금],"미래에셋증권에서 거래하는 고수익 투자자들이 12일 가장 많이 순매수한 종목은 SK네트웍스, 주성엔지니어링, 에이플러스바이오 순으로 집계..",서울경제,2026-06-12 11:35:11,https://n.news.naver.com/mnews/article/011/0004630472
